sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag
LLM_125,SBV2-ALL92-G144-C03,strong_action_overclaim,digital_twin,DT-015,Traditional passive safety analysis methods face serious limitations for evaluat,"Traditional passive safety analysis methods, which rely on historical crash data",runtime_check_needed,none
LLM_126,SBV2-ALL92-G145-C03,strong_action_overclaim,digital_twin,DT-016,APDT was implemented as a proof of concept for campus network management with pr,"As proof of concept, we implemented APDT in a university campus setting on a sub",runtime_check_needed,none
LLM_127,SBV2-ALL92-G122-C03,strong_action_overclaim,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none
LLM_128,SBV2-ALL92-G111-C03,strong_action_overclaim,digital_twin,DT-003,The paper notes that robotic reinforcement learning faces hardware limitations a,"However, there are many challenges to implementing RL in the robotic domain due ",runtime_check_needed,none
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,digital_twin,DT-011,A digital shadow provides continuous physical-system data processing and assured,"A system is called a digital shadow when automated control cannot be guaranteed,",runtime_check_needed,none
LLM_130,SBV2-ALL92-G116-C03,strong_action_overclaim,digital_twin,DT-005,GPT-4o-mini reaches perfect accuracy on four documents while extracting fewer re,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but ",runtime_check_needed,none
LLM_131,SBV2-ALL92-G140-C03,strong_action_overclaim,digital_twin,DT-014,The 6G twin framework reported 60% lower 95th-percentile latency and 50% lower e,"Based on our simulation results, we observe that the proposed framework achieves",runtime_check_needed,none
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,marl,MARL-004,The industrial-control paper argues many academic benchmarks differ markedly fro,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl
LLM_133,SBV2-ALL92-G178-C03,strong_action_overclaim,marl,MARL-002,The ALEM evaluation trains thirteen modern LLMs with MARL agents in homogeneous ,"We evaluate 13 modern LLMs zero-shot within homogeneous teams, with trained MARL",runtime_check_needed,marl
LLM_134,SBV2-ALL92-G190-C03,strong_action_overclaim,marl,MARL-006,Tool-RoCo evaluates four cooperation paradigms under separate experiment designs,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,marl,MARL-011,WFCRL implements a Python-based simulator core through MPI channels that handles,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,marl,MARL-007,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitratio","Resolution must either come from mutual agreement between principals, from a pre",runtime_check_needed,marl
LLM_137,SBV2-ALL92-G175-C03,strong_action_overclaim,marl,MARL-001,"The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treati","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop envir",runtime_check_needed,marl
LLM_138,SBV2-ALL92-G266-C03,strong_action_overclaim,policy_simulation,POL-018,The framework maps six-point Likert answers to ordinal scores and pools clinical,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,policy_simulation,POL-013,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, mill","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling ",runtime_check_needed,none
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,policy_simulation,POL-007,The SimCity paper identifies a key limitation in existing frameworks as the lack,"A key limitation of existing frameworks (Lengnick, 2013; Li et al., 2024) is the",runtime_check_needed,none
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,policy_simulation,POL-014,"The paper says the simulation models individual behaviors, citywide mobility pat","Using real-world data, the simulation models individual behaviors and large-scal",runtime_check_needed,none
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,policy_simulation,POL-020,A full-wallet account keeps its balance unchanged during sale and travel periods,"Once an account has reached this state (referred to as ‘full wallet’ hereafter),",runtime_check_needed,none
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,policy_simulation,POL-001,The benchmark reports its best-performing system above 60% accuracy on broad cas,The best- performing system achieves only 24.5% accuracy on compre- hensive scen,runtime_check_needed,none
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,policy_simulation,POL-007,SimCity implements the shock by changing production skill requirements and labor,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none
LLM_145,SBV2-ALL92-G261-C03,strong_action_overclaim,policy_simulation,POL-016,The paper says a calibration layer maps individual conversations and aggregated ,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,policy_simulation,POL-020,The simulation reports travel-time inconsistency stabilizing near 0.05 after day,"It is found that the incon- sistency becomes stable around 0.15 after day 15, im",runtime_check_needed,none
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,robotics,MARL-017,The RealAIGym paper argues algorithm comparison proves reliable control after be,In order to get a clear understanding of their individual strengths and weakness,runtime_check_needed,none
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,robotics,MARL-015,The Isaac-to-Gazebo work describes its approach as a step toward low-code applic,"While this does not necessarily of- fer the best fine-tuned performance, we beli",runtime_check_needed,none
LLM_149,SBV2-ALL92-G172-C03,strong_action_overclaim,robotics,MARL-019,"The study evaluated its approach through PX4, ArduPilot, and hardware flight tes",We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPi,runtime_check_needed,none
LLM_150,SBV2-ALL92-G168-C03,strong_action_overclaim,robotics,MARL-017,The RealAIGym implementation relies on Soft Actor-Critic as the central benchmar,"The core algorithm used is Soft Actor-Critic (SAC) [18], a state-of-the-art RL m",runtime_check_needed,none
LLM_151,SBV2-ALL92-G018-C04,contradiction_candidate,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indi","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,autonomous_driving,AD-015,DriveE2E implements no classical E2EAD models as baseline methods for the experi,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none
LLM_153,SBV2-ALL92-G038-C04,contradiction_candidate,autonomous_driving,AD-014,NAVSIM reports challenging evaluation scenarios where the constant-velocity agen,"The resulting scenarios are challenging, which is underlined by the score of the",runtime_check_needed,none
LLM_154,SBV2-ALL92-G013-C04,contradiction_candidate,autonomous_driving,AD-005,The Bench2Drive-R study implements an open-loop noninteractive simulation platfo,"Further, we implement a closed-loop interactive end-to- end simulation platform ",runtime_check_needed,none
LLM_155,SBV2-ALL92-G019-C04,contradiction_candidate,autonomous_driving,AD-007,The study employs GPT-4o as the base VLM and fine-tunes it for two epochs on KIT,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none
LLM_156,SBV2-ALL92-G020-C04,contradiction_candidate,autonomous_driving,AD-007,RoboDriveVLM-TTA records weaker AvgL2-Prompt and AvgCol-Prompt results while mai,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-P",runtime_check_needed,none
LLM_157,SBV2-ALL92-G057-C04,contradiction_candidate,autonomous_driving,AD-020,"The regulation example treats [70, 60, 50] mph as exceeding the maximum speed di","For example, pointing at the downstream of traffic, a sequence of speed limits s",runtime_check_needed,none
LLM_158,SBV2-ALL92-G031-C04,contradiction_candidate,autonomous_driving,AD-011,The DriveVLM experiments train models on the test split and evaluate training pe,We train models on the training split and use our proposed scene description and,runtime_check_needed,none
LLM_159,SBV2-ALL92-G032-C04,contradiction_candidate,autonomous_driving,AD-011,DriveVLM-Dual separates DriveVLM from the traditional autonomous pipeline and re,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none
LLM_160,SBV2-ALL92-G051-C04,contradiction_candidate,autonomous_driving,AD-018,The URB paper introduced a framework for testing supervised lane detection algor,"5 Conclusions, limitations, broader impact and future work In this paper, we int",runtime_check_needed,none
LLM_161,SBV2-ALL92-G043-C04,contradiction_candidate,autonomous_driving,AD-016,HABIT evaluates no recent end-to-end autonomy agents on semantically grounded pe,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none
LLM_162,SBV2-ALL92-G047-C04,contradiction_candidate,autonomous_driving,AD-017,GPUDrive lacks GPU acceleration through the Madrona game engine in the V-Max fra,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none
LLM_163,SBV2-ALL92-G065-C04,contradiction_candidate,autonomous_driving,AD-024,"The field studies highlight design tradeoffs involving compute benchmarks, camer","These deployments highlight practical limitations and design tradeoffs, such as ",runtime_check_needed,none
LLM_164,SBV2-ALL92-G037-C04,contradiction_candidate,autonomous_driving,AD-014,The NAVSIM experiments evaluate on the navtest split because closed-loop simulat,"Due to the heavy computational requirements of closed-loop simulation, we evalua",runtime_check_needed,none
LLM_165,SBV2-ALL92-G034-C04,contradiction_candidate,autonomous_driving,AD-012,Bench2Drive implements rule-based baselines and avoids evaluating state-of-the-a,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none
LLM_166,SBV2-ALL92-G004-CONTRA,contradiction_candidate,autonomous_driving,AD-002,"The benchmark experiments run on an AMD Ryzen workstation, 16 GB RAM, an NVIDIA ",Experimental Setup All experiments are conducted on a desktop PC with an Intel C,runtime_check_needed,none
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,cyber_defense,CYB-009,The study evaluates its methods against no baselines at different design stages ,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense
LLM_168,SBV2-ALL92-G094-C04,contradiction_candidate,cyber_defense,CYB-010,"The study evaluates the approach in CybORG, analyzing tradeoffs among interface ","We evaluate our approach within the CybORG environment, a reinforcement learning",runtime_check_needed,cyber_defense
LLM_169,SBV2-ALL92-G089-C04,contradiction_candidate,cyber_defense,CYB-008,A strong expert hierarchical decision rule trails the joint PPO baseline in the ,Their results show that a strong expert meta-policy can out- perform a joint Pro,runtime_check_needed,cyber_defense
LLM_170,SBV2-ALL92-G083-C04,contradiction_candidate,cyber_defense,CYB-006,DeepXplain lowers average stage-weighted F1-score from 0.887 to 0.850 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense
LLM_171,SBV2-ALL92-G087-C04,contradiction_candidate,cyber_defense,CYB-007,Human designers face minimal cognitive limitations when developing reward models,"As cyber environments evolve with increasingly sophisticated attack vectors, adv",runtime_check_needed,cyber_defense
LLM_172,SBV2-ALL92-G069-C04,contradiction_candidate,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities benefits from broad access to op,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense
LLM_173,SBV2-ALL92-G099-C04,contradiction_candidate,cyber_defense,CYB-011,The paper reframes autonomous network defence with entity-based reinforcement le,"To overcome this limitation, we reframe the problem of autonomous network defenc",runtime_check_needed,cyber_defense
LLM_174,SBV2-ALL92-G111-C04,contradiction_candidate,digital_twin,DT-003,The paper notes that robotic reinforcement learning faces no hardware limitation,"However, there are many challenges to implementing RL in the robotic domain due ",runtime_check_needed,none
LLM_175,SBV2-ALL92-G110-C04,contradiction_candidate,digital_twin,DT-003,The results show slow learning convergence and fragile task execution in simulat,The results show rapid policy convergence and robust task execution in both simu,runtime_check_needed,none
LLM_176,SBV2-ALL92-G144-C04,contradiction_candidate,digital_twin,DT-015,Traditional passive safety analysis methods remain well suited to data-scarce an,"Traditional passive safety analysis methods, which rely on historical crash data",runtime_check_needed,none
LLM_177,SBV2-ALL92-G146-C04,contradiction_candidate,digital_twin,DT-016,APDT reported substantially lower simulation accuracy with predictive-model outp,"The results yielded an impressive simulation accuracy of 85.03%, alongside predi",runtime_check_needed,none
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,digital_twin,DT-012,"The microgrid RL literature reports detailed BESS modeling of thermal, aging, an","Regardless of the adopted RL methods, a common limitation in these approaches is",runtime_check_needed,none
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,digital_twin,DT-011,A digital shadow provides assured automated control while physical-system data p,"A system is called a digital shadow when automated control cannot be guaranteed,",runtime_check_needed,none
LLM_180,SBV2-ALL92-G106-C04,contradiction_candidate,digital_twin,DT-002,The study evaluates test error with MAPE by running a nonoptimized baseline deci,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (",runtime_check_needed,none
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,digital_twin,DT-009,The gFHR design process disregarded surrogate prediction accuracy and sensor mon,The design choice process considered the accuracy of the gFHR surrogate predicti,runtime_check_needed,none
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,marl,MARL-005,The MEAL study evaluates supervised-learning methods with MARL algorithms and re,"Third, we evaluate CL methods com- bined with MARL algorithms, showing that expe",runtime_check_needed,marl
LLM_183,SBV2-ALL92-G198-C04,contradiction_candidate,marl,MARL-008,Traditional MARL credit assignment schemes are described as reliable for individ,"However, tra- ditional credit assignment schemes in MARL cannot re- liably captu",runtime_check_needed,marl
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,marl,MARL-008,The HIS evaluation excludes continuous-action benchmark environments and focuses,We evaluate the proposed algorithm in three widely used continuous-action benchm,runtime_check_needed,marl
LLM_185,SBV2-ALL92-G193-C04,contradiction_candidate,marl,MARL-007,The multi-principal agent paper presents centralized fiat by one meta-agent as t,"Resolution must either come from mutual agreement between principals, from a pre",runtime_check_needed,marl
LLM_186,SBV2-ALL92-G185-C04,contradiction_candidate,marl,MARL-004,The industrial-control paper says reinforcement learning adoption is mainly limi,"Reinforcement learning (RL) offers a promising approach, but its industrial adop",runtime_check_needed,marl
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,marl,MARL-004,The industrial-control paper argues many academic benchmarks closely match indus,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,policy_simulation,POL-007,SimCity implements the shock by keeping production skill requirements unchanged ,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,policy_simulation,POL-020,A full-wallet account increases its balance during no-sale and no-travel periods,"Once an account has reached this state (referred to as ‘full wallet’ hereafter),",runtime_check_needed,none
LLM_190,SBV2-ALL92-G264-C04,contradiction_candidate,policy_simulation,POL-017,Existing mobility simulation platforms smoothly integrate advanced mobility mode,"Despite their capabilities, existing plat- forms have significant limitations—mo",runtime_check_needed,none
LLM_191,SBV2-ALL92-G252-C04,contradiction_candidate,policy_simulation,POL-013,The paper states that the evaluation covered million-agent populations and multi,"Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling ",runtime_check_needed,none
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,policy_simulation,POL-018,The framework keeps six-point Likert answers as categorical letters and separate,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none
LLM_193,SBV2-ALL92-G271-C04,contradiction_candidate,policy_simulation,POL-020,"The simulation reports travel-time inconsistency rising past 0.15 after day 15, ","It is found that the incon- sistency becomes stable around 0.15 after day 15, im",runtime_check_needed,none
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,policy_simulation,POL-007,"SimCity reports no classic macroeconomic phenomena including Okun’s law, the Phi",Experimental results show that SimCity successfully exhibits a range of classic ,runtime_check_needed,none
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,policy_simulation,POL-013,The paper reports that the Saez-regression schedule underperformed the LLM Econo,"The Saez-regression schedule now outperforms the LLM Economist, reflecting the S",runtime_check_needed,none
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,policy_simulation,POL-015,The paper says MobileCity gains efficiency at scale while retaining LLM modules ,GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; Mobil,runtime_check_needed,none
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,robotics,MARL-017,The reward design sets the highest value above zero to stabilize Q-function lear,Having the highest possible value of the reward function at 0 makes learning the,runtime_check_needed,none
LLM_198,SBV2-ALL92-G163-C04,contradiction_candidate,robotics,MARL-016,The study evaluates context-aware agents in a visual language benchmark rather t,We evaluate the resulting context-aware policies in both a canonical control ben,runtime_check_needed,none
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,robotics,MARL-017,The RealAIGym implementation relies on PPO rather than Soft Actor-Critic as its ,"The core algorithm used is Soft Actor-Critic (SAC) [18], a state-of-the-art RL m",runtime_check_needed,none
LLM_200,SBV2-ALL92-G164-C04,contradiction_candidate,robotics,MARL-016,The results show context-agnostic agents often outperform context-conditioned ag,The results show that the context-conditioned policy often significantly outperf,runtime_check_needed,none
