review_rank,candidate_id,claim_text,selected_evidence,pred_label,true_label,priority_score,strong_action_flag,source_pdf,page,reason
79,SBV2-ALL92-G107-C03,"The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and direct physical plant trials.","dualcomponent approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain.",strong_action_overclaim,strong_action_overclaim,0.975095133356698,1,DT-002,1,"R4 flagged strong_action (p_strong=0.715, p_contra=0.240)"
80,SBV2-ALL92-G035-C02,"The example describes three test runs with 90% route completion and red-light counts of 0, 1, and 3.","For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.",strong_action_overclaim,mild_scope_overclaim,0.9742119267233527,1,AD-012,6,"R4 flagged strong_action (p_strong=0.494, p_contra=0.020)"
81,SBV2-ALL92-G135-C03,The microgrid RL literature limitation concerns BESS modeling that leaves out thermal and aging behavior in prior approaches.,"RL-base, i.e., the state-of-theart RL solution, and of 6.7% w.r.t.",strong_action_overclaim,strong_action_overclaim,0.9741642747103534,1,DT-012,2,"R4 flagged strong_action (p_strong=0.802, p_contra=0.328)"
82,SBV2-ALL92-G077-C01,"C-MADF reports precision 0.997, recall 0.961, and F1-score 0.979 compared with three listed baselines on the public CICIOT2023 benchmark.","Empirical Takeaways On CICIoT2023, C-MADF records 0.997 precision, 0.961 recall, 0.979 F1-score, and 1.8% false-positive rate, outperforming all three recent baselines in Table XII.",strong_action_overclaim,supported,0.9724140792448123,1,CYB-004,20,"R4 flagged strong_action (p_strong=0.573, p_contra=0.101)"
83,SBV2-ALL92-G257-C02,"The paper says MobileCity gains efficiency at scale partly by disabling LLM modules and planner modules, trading behavioral fidelity for speed.",behavioral fidelity for speed.,strong_action_overclaim,mild_scope_overclaim,0.9720018329829387,1,POL-015,4,"R4 flagged strong_action (p_strong=0.746, p_contra=0.274)"
84,SBV2-ALL92-G264-C04,Existing mobility simulation platforms smoothly integrate advanced mobility models and provide strong dynamic behavior adaptation from environmental feedback.,"LLM agent simulation platforms, LLM-based urban mobility platforms, and population synthesis platforms.",strong_action_overclaim,contradiction_candidate,0.9711824531223299,1,POL-017,2,"R4 flagged strong_action (p_strong=0.730, p_contra=0.259)"
85,SBV2-ALL92-G087-C03,Human designers face substantial cognitive limitations that make manual reward-model development ineffective for nuanced cyber operation dynamics for the autonomous cyber-defense reward design problem.,Methodology The autonomous cyber defense problem focuses on learning the optimal policies for the defender (blue) agent against different forms of adversarial actions taken by the attacker (red) agent.,strong_action_overclaim,strong_action_overclaim,0.9614733259334018,1,CYB-007,3,"R4 flagged strong_action (p_strong=0.723, p_contra=0.262)"
86,SBV2-ALL92-G190-C03,Tool-RoCo evaluates four cooperation paradigms under separate experiment designs while comparing LLM autonomy and collaborative behavior systematically in the benchmark.,This benchmark allows us to analyze the performance of LLM agents progressively across four different cooperation paradigms in the next section.,strong_action_overclaim,strong_action_overclaim,0.9609203224875246,1,MARL-006,1,"R4 flagged strong_action (p_strong=0.715, p_contra=0.254)"
87,SBV2-ALL92-G040-C02,DriveE2E implements seven classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,"Additionally, we present a robust evaluation benchmark featuring baseline E2EAD methods, enabling comprehensive closed-loop assessments.",strong_action_overclaim,mild_scope_overclaim,0.9608705173236622,1,AD-015,9,"R4 flagged strong_action (p_strong=0.718, p_contra=0.257)"
88,SBV2-ALL92-G175-C03,"The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treating each method as a parallel-environment Q-learning algorithm.","We observe in 6a the most trading among agents occurs with MAPPO, followed by IPPO and then PQN.",strong_action_overclaim,strong_action_overclaim,0.9571638246582818,1,MARL-001,6,"R4 flagged strong_action (p_strong=0.724, p_contra=0.267)"
89,SBV2-ALL92-G038-C03,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 12% and the human expert scores 98% in testing.,(a) We consider challenging scenes where maintaining a constant velocity and heading fails compared to the human driver.,strong_action_overclaim,strong_action_overclaim,0.9550848551244784,1,AD-014,5,"R4 flagged strong_action (p_strong=0.717, p_contra=0.262)"
90,SBV2-ALL92-G038-C02,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 25% and the human expert scores 95% in testing.,(a) We consider challenging scenes where maintaining a constant velocity and heading fails compared to the human driver.,strong_action_overclaim,mild_scope_overclaim,0.9529604386290552,1,AD-014,5,"R4 flagged strong_action (p_strong=0.720, p_contra=0.267)"
91,SBV2-ALL92-G037-C02,The NAVSIM experiments evaluate on the navmini split because closed-loop simulation has heavy computational requirements for repeated evaluation and ablation analysis.,"(1) We build NAVSIM, a framework for non-reactive AV simulation, with standardized protocols for training and testing, data curation tools ensuring broad accessibility, and an official public evaluation server used for the inaugural NAVSIM challenge.",strong_action_overclaim,mild_scope_overclaim,0.9511986091567619,1,AD-014,6,"R4 flagged strong_action (p_strong=0.747, p_contra=0.296)"
92,SBV2-ALL92-G167-C03,The RealAIGym paper argues algorithm comparison proves reliable control after benchmarking performance in simulation and physical hardware experiments together.,"With the software and hardware being open source and a user friendly Python API, RealAIGym intends to be an open benchmarking platform for comparing control methods on real hardware.",strong_action_overclaim,strong_action_overclaim,0.950920312358768,1,MARL-017,1,"R4 flagged strong_action (p_strong=0.691, p_contra=0.240)"
93,SBV2-ALL92-G232-C03,"SimCity implements the shock by changing production skill requirements and labor preferences midway through the run, marked as 0 to Event in Figure 7.",Mean Difference Skill Impulse Response No Difference Event Monthly Gap Pre-Event Trend Pre-Event 95% CI Post-Event Trend Post-Event 95% CI Figure 7: An automaton shock leads to an income gap between benefited agents and others.,strong_action_overclaim,strong_action_overclaim,0.9505609947481857,1,POL-007,9,"R4 flagged strong_action (p_strong=0.738, p_contra=0.288)"
94,SBV2-ALL92-G038-C01,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 22% and the human expert scores 95% in testing.,(a) We consider challenging scenes where maintaining a constant velocity and heading fails compared to the human driver.,strong_action_overclaim,supported,0.9481705013482629,1,AD-014,5,"R4 flagged strong_action (p_strong=0.711, p_contra=0.262)"
95,SBV2-ALL92-G248-C03,"The paper reports that TaxAgent achieved stronger equity-efficiency trade-offs than major taxation baselines, market baselines, and redistribution methods.",The TaxAgent demonstrates its prioritization on equality and its flexibility in making equalityproductivity trade-offs.,strong_action_overclaim,strong_action_overclaim,0.947897734630408,1,POL-012,5,"R4 flagged strong_action (p_strong=0.686, p_contra=0.238)"
96,SBV2-ALL92-G089-C01,A strong expert hierarchical decision rule outperforms a joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,The CAGE-4 challenge is a recent security environment aimed at encouraging research in autonomous cyber defense.,strong_action_overclaim,supported,0.9469015441507069,1,CYB-008,2,"R4 flagged strong_action (p_strong=0.742, p_contra=0.295)"
97,SBV2-ALL92-G040-C03,DriveE2E implements twelve classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,"Additionally, we present a robust evaluation benchmark featuring baseline E2EAD methods, enabling comprehensive closed-loop assessments.",strong_action_overclaim,strong_action_overclaim,0.9466060397402636,1,AD-015,9,"R4 flagged strong_action (p_strong=0.704, p_contra=0.257)"
98,SBV2-ALL92-G027-C03,"ScenePilot-Bench remains open-loop, with downstream control effects, intervention timing, and recovery behavior in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, an",strong_action_overclaim,strong_action_overclaim,0.9406599682850616,1,AD-009,6,"R4 flagged strong_action (p_strong=0.716, p_contra=0.275)"
99,SBV2-ALL92-G042-C03,DriveE2E introduces a closed-loop evaluation framework that integrates recorded traffic cases into CARLA through infrastructure cooperation and calibrated city-scale twins.,"In contrast, DriveE2E builds high-fidelity static assets and incorporates traffic scenarios from an infrastructure-view perspective, enabling more realistic and consistent closed-loop evaluations of E2EAD methods.",strong_action_overclaim,strong_action_overclaim,0.9401294826806518,1,AD-015,1,"R4 flagged strong_action (p_strong=0.755, p_contra=0.315)"
100,SBV2-ALL92-G091-C03,The study evaluates its methods against multiple baselines at every design stage to validate the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our me,strong_action_overclaim,strong_action_overclaim,0.9400279302434809,1,CYB-009,2,"R4 flagged strong_action (p_strong=0.738, p_contra=0.298)"
