file_path,stale_claim,risk_level,recommended_replacement,should_edit
d:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\V3_13_positioning_change_log.md,"V3.13 positioning change log",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\CESE_OCN_V3_13_rigourate_differentiated_realism_aware.md,"V3.13 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\V3_13_readiness_gate.json,"V3.13 readiness gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\V3_13_positioning_change_log.md,"V3.13 positioning change log",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\related_work_differentiation_table.md,"V3.13 related work differentiation table",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\CESE_OCN_V3_13_differentiated_against_rigourate_forcebench.md,"V3.13 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_12_1_advisor_send_clean\V3_12_1_readiness_gate.json,"V3.12.1 readiness gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_12_1_advisor_send_clean\CESE_OCN_V3_12_1_advisor_send_clean.md,"V3.12.1 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\V3_12_readiness_gate.json,"V3.12 readiness gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\V3_12_inserted_credibility_checks.md,"V3.12 inserted credibility checks",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\CESE_OCN_V3_12_with_three_credibility_checks.md,"V3.12 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_11_high_standard_framework_roadmap\V3_11_readiness_gate.json,"V3.11 readiness gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_11_high_standard_framework_roadmap\V3_11_strengthening_roadmap.md,"V3.11 strengthening roadmap",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_11_high_standard_framework_roadmap\CESE_OCN_V3_11_high_standard_framework.md,"V3.11 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_10_1_advisor_send_clean\V3_10_1_readiness_gate.json,"V3.10.1 readiness gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_10_1_advisor_send_clean\CESE_OCN_V3_10_1_advisor_send_clean.md,"V3.10.1 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_10_advisor_ready_silver_stage\V3_10_readiness_gate.json,"V3.10 readiness gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_10_advisor_ready_silver_stage\advisor_cover_note_cn.md,"V3.10 advisor cover note",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_10_advisor_ready_silver_stage\CESE_OCN_V3_10_advisor_ready_silver_stage.md,"V3.10 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_9_pre_gold_complete_audit\next_action_gate_v3_9.json,"V3.9 next action gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_9_pre_gold_complete_audit\reviewer_attack_report_v3_9.md,"V3.9 reviewer attack report",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_9_pre_gold_complete\CESE_OCN_V3_9_pre_gold_complete.md,"V3.9 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_8_reference_refreshed\V3_8_reference_update_log.md,"V3.8 reference update log",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_8_reference_refreshed\CESE_OCN_V3_8_reference_refreshed.md,"V3.8 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_7_advisor_handoff_clean\advisor_cover_note.md,"V3.7 advisor cover note (cited in older mainline docs as current)",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_7_advisor_handoff_clean\CESE_OCN_V3_7_advisor_handoff_clean.md,"V3.7 paper body (cited as current paper in older mainline docs)",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_6_case_figure_integrity_checked\CESE_OCN_V3_6_case_figure_integrity_checked.md,"V3.6 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_5_presentation_ready\CESE_OCN_V3_5_presentation_ready.md,"V3.5 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_4_taxonomy_hardened\CESE_OCN_V3_4_taxonomy_hardened.md,"V3.4 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_4_taxonomy_hardened\high_risk_sample_bank.csv,"V3.4 high risk sample bank (referenced by gold pilot)",low,"Read-only paper asset; still valid as a reference dataset; no edit required",no
d:\ocn\paper_versions_ordered\V3_4_taxonomy_hardened\trusted_case_bank.csv,"V3.4 trusted case bank (referenced by gold pilot)",low,"Read-only paper asset; still valid as a reference dataset; no edit required",no
d:\ocn\_MAIN_PAPER_CURRENT\paper_versions\V3_7_advisor_handoff_clean\advisor_cover_note.md,"_MAIN_PAPER_CURRENT mirror of V3.7 advisor cover note",low,"Curated mirror of historical paper; document historical status in change_log",no
d:\ocn\_MAIN_PAPER_CURRENT\paper_versions\V3_6_case_figure_integrity_checked\V3_6_integrity_revision_log.md,"_MAIN_PAPER_CURRENT mirror of V3.6 integrity revision log",low,"Curated mirror; document historical status in change_log",no
d:\ocn\docs\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_forcebench_claimbench_related_work_insert.md,"docs related work insert",low,"Historical docs; document historical status in change_log",no
