group_id,domain,evidence_text,supported_claim,mild_claim,strong_claim,contradiction_claim,template_similarity_score,gradient_naturalness_score,strong_forced_flag,contradiction_mechanical_flag,group_realism_risk_level,recommended_for_gold_realism_check
SBV2-ALL92-G087,cyber_defense,"As cyber environments evolve with increasingly sophisticated attack vectors, advanced detection methodologies, and expansive network architectures, human designers face substantial cognitive limitations in developing comprehensive reward models that accurately capture the nuanced dynamics of cy- ber operations.",Human designers face substantial cognitive limitations when developing reward models for nuanced cyber operation dynamics for the autonomous cyber-defense reward design problem.,Human designers face substantial cognitive limitations when developing reward models for nuanced cyber operation dynamics and response timing for the autonomous cyber-defense reward design problem.,Human designers face substantial cognitive limitations that make manual reward-model development ineffective for nuanced cyber operation dynamics for the autonomous cyber-defense reward design problem.,Human designers face minimal cognitive limitations when developing reward models for nuanced cyber operation dynamics for the autonomous cyber-defense reward design problem.,0.74,4,False,True,medium,False
SBV2-ALL92-G089,cyber_defense,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].,A strong expert hierarchical decision rule outperforms a joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,A strong expert hierarchical decision rule outperforms a joint PPO baseline and a graph-convolutional PPO variant in the autonomous cyber-defense challenge description.,A strong expert hierarchical decision rule outperforms the joint PPO baseline by a wide empirical margin in the autonomous cyber-defense challenge description.,A strong expert hierarchical decision rule trails the joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,0.7304,3,False,True,medium,False
SBV2-ALL92-G091,cyber_defense,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.,The study evaluates its methods against multiple baselines at different design stages to motivate the methodology and design decisions.,The study evaluates its methods against multiple baselines at early and late design stages to motivate the methodology and design decisions.,The study evaluates its methods against multiple baselines at every design stage to validate the methodology and design decisions.,The study evaluates its methods against no baselines at different design stages while motivating the methodology and design decisions.,0.6208,5,False,True,medium,False
SBV2-ALL92-G092,cyber_defense,"Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives.","The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, and cybersecurity metrics with multiple adversaries.","The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and resource costs with multiple adversaries.","The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and adversary identification with multiple adversaries.","The comparisons show the hierarchical learning approach achieving lower performance in convergence speed, episodic return, and cybersecurity metrics with multiple adversaries.",0.8398,4,False,True,medium,False
SBV2-ALL92-G093,cyber_defense,We leave as future work the study of H-MARL transferability to evolving adversaries that adapt their policies based on opponent behavior or environment feedback.,The paper leaves H-MARL transferability to evolving adversaries that adapt from opponent behavior or environment feedback as future work.,"The paper leaves H-MARL transferability to evolving adversaries that adapt from opponent behavior, environment feedback, or attacker coordination as future work.","The paper presents H-MARL transferability to evolving adversaries that adapt from opponent behavior, environment feedback, and live defender telemetry as evaluated.",The paper treats H-MARL transferability to evolving adversaries that adapt from opponent behavior or environment feedback as already studied.,0.6097,5,False,False,low,False
SBV2-ALL92-G094,cyber_defense,"We evaluate our approach within the CybORG environment, a reinforcement learning (RL) framework for autonomous cyber defense, analyzing trade-offs between resilience, costs, and prioritization of operational goals.","The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, and prioritization of mission goals for cyber defense.","The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, mission goals, and alert volume for cyber defense.","The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, mission goals, and enterprise staffing plans for cyber defense.","The study evaluates the approach in CybORG, analyzing tradeoffs among interface design, report formatting, and analyst preferences for cyber defense.",0.5763,5,False,False,low,False
SBV2-ALL92-G098,cyber_defense,"We demonstrate that this approach significantly outperforms an MLP-based policy when training across fixed-size networks of varying topologies, and matches performance when training on a single network.",The approach outperforms an MLP baseline during training on fixed-size networks with varying topologies and matches performance on one network.,The approach outperforms an MLP baseline during training on fixed-size networks with varying topologies and exceeds performance on one network.,The approach outperforms an MLP baseline during training on fixed-size networks with varying topologies and exceeds performance on unseen larger networks.,The approach underperforms an MLP baseline during training on fixed-size networks with varying topologies and trails performance on one network.,0.7019,5,False,True,medium,False
SBV2-ALL92-G099,cyber_defense,"To overcome this limitation, we reframe the problem of autonomous network defence using entity-based re- inforcement learning, where the observation and action space of an agent are decomposed into a collection of discrete entities.","The paper reframes autonomous network defence with entity-based reinforcement learning, decomposing observation and action spaces into collections of discrete entities.","The paper reframes autonomous network defence with entity-based reinforcement learning, decomposing observation and action spaces into collections of typed discrete entities.","The paper reframes autonomous network defence with entity-based reinforcement learning, decomposing observation and action spaces into collections for every network size.","The paper reframes autonomous network defence with entity-based reinforcement learning, decomposing observation and action spaces into continuous global vectors.",0.7316,5,False,False,low,False
SBV2-ALL92-G106,digital_twin,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (MAPE)) by running the the estimated optimal policy on the physical system for 2,000 episodes.","The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 2,000 episodes.","The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 2,000 episodes and five starting conditions.","The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 20,000 episodes and five starting conditions.","The study evaluates test error with MAPE by running a nonoptimized baseline decision rule on the physical system for 2,000 episodes.",0.7767,4,False,True,medium,False
SBV2-ALL92-G107,digital_twin,"This dual- component approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain.","The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments.","The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and a manufacturing benchmark.","The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and direct physical plant trials.","The approach jointly calibrates the digital twin and searches for an optimal control rule, performing below existing methods in numerical biopharmaceutical experiments.",0.7898,4,False,True,medium,False
SBV2-ALL92-G108,digital_twin,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions.",The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions in its design.,The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions or fixed noise terms in its design.,"The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions, fixed noise terms, or known reward functions in its design.",The paper describes its method as theoretically justified and reliant on restrictive assumptions such as linear transitions in its design.,0.7944,2,False,True,medium,False
SBV2-ALL92-G110,digital_twin,The results show rapid policy convergence and robust task execution in both simulated and physical environments demonstrating the effectiveness of our approach.,The results show rapid learning convergence and robust task execution in simulated and physical environments for the proposed robot control tasks.,"The results show rapid learning convergence and robust task execution in simulated, physical, and disturbed environments for the proposed robot control tasks.","The results show rapid learning convergence and robust task execution in simulated, physical, and hardware-failure environments for the proposed robot control tasks.",The results show slow learning convergence and fragile task execution in simulated and physical environments for the proposed robot control tasks.,0.8278,1,False,True,medium,False
SBV2-ALL92-G111,digital_twin,"However, there are many challenges to implementing RL in the robotic domain due to hardware limitations (such as mechanical system design and computer capabilities) and software restrictions (like algorithm efficiency).","The paper notes that robotic reinforcement learning faces hardware limitations and software restrictions involving system design, computing capability, and algorithm efficiency.","The paper notes that robotic reinforcement learning faces hardware limitations and software restrictions involving system design, computing capability, algorithm efficiency, and sensor calibration.","The paper notes that robotic reinforcement learning faces hardware limitations and software restrictions involving system design, computing capability, algorithm efficiency, sensor calibration, and actuator maintenance.","The paper notes that robotic reinforcement learning faces no hardware limitations or software restrictions involving system design, computing capability, and algorithm efficiency.",0.8855,1,False,True,medium,False
SBV2-ALL92-G116,digital_twin,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but extracted fewer regulations overall, suggest- ing a conservative strategy that favors precision over recall.","GPT-4o-mini reaches perfect accuracy on one document while extracting fewer regulations overall, favoring precision over recall in the reported example.","GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer regulations overall, favoring precision over recall in the reported example.","GPT-4o-mini reaches perfect accuracy on four documents while extracting fewer regulations overall, favoring precision over recall in the reported example.","GPT-4o-mini reaches lower accuracy on one document while extracting more regulations overall, favoring recall over precision in the reported example.",0.7492,3,False,True,medium,True
SBV2-ALL92-G119,digital_twin,"For individual CAV evaluation, we provide the following metrics: 1) Detection metrics based on average precision (AP) across different Intersection over Union (IoU) thresholds, and multiclass mean Average Pre- cision (mAP).",The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds and multiclass mean average precision.,"The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and distance-based mAP.","The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and traffic smoothness indicators.",The individual CAV evaluation reports reward metrics instead of detection metrics based on average precision at IoU thresholds and multiclass mean average precision.,0.7925,4,False,True,medium,False
SBV2-ALL92-G122,digital_twin,"Trained on a real-world-inspired dataset with segment attributes and dynamic connectivity, our model achieves an R2 of 0.3798, outperforming baseline regressors and effectively capturing non-linear degradation.",The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors.,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors for broader management forecasting.,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 above 0.70 and outperformed baseline regressors for condition prediction.,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 below 0.10 and failed to outperform baseline regressors.,0.7185,5,False,True,medium,False
SBV2-ALL92-G124,digital_twin,The design choice process considered the accuracy of the gFHR surrogate predictions and selecting states that could be realistically monitored with sensors in the reactor setting.,The gFHR design process considered surrogate prediction accuracy and reactor states monitorable by sensors during later state selection in the study.,The gFHR design process treated surrogate prediction accuracy and sensor-monitorable reactor states as central factors during later state selection in the study.,The gFHR design process determined final reactor state choices from surrogate prediction accuracy and sensor monitoring constraints during later state selection.,The gFHR design process disregarded surrogate prediction accuracy and sensor monitoring feasibility during reactor state selection in the study.,0.5279,5,False,False,low,False
SBV2-ALL92-G128,digital_twin,"Our method achieves the top mean return and the lowest standard deviation across seeds, which leads to the best Sharpe-like index.","The clinical decision method achieved the top mean return, the lowest seed variation, and the best Sharpe-like index in evaluation.","The clinical decision method achieved the top mean return, the lowest seed variation, and the best Sharpe-like index for treatment quality.","The clinical decision method achieved the top mean return, zero seed variation, and the best Sharpe-like index in evaluation.","The clinical decision method achieved a lower mean return, higher seed variation, and a weaker Sharpe-like index in evaluation.",0.7009,5,False,False,low,False
SBV2-ALL92-G131,digital_twin,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously.",A digital shadow processes physical-system data continuously while lacking assured automated control over the physical system in smart grid typology.,A digital shadow processes physical-system data continuously while lacking assured automated control for smart grid monitoring and coordination.,A digital shadow provides continuous physical-system data processing and assured automated control for smart grid monitoring and coordination.,A digital shadow provides assured automated control while physical-system data processing remains intermittent in smart grid monitoring workflows.,0.5722,5,False,False,low,False
SBV2-ALL92-G135,digital_twin,"Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior.",The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in prior approaches.,The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in several prior approaches.,The microgrid RL literature limitation concerns BESS modeling that leaves out thermal and aging behavior in prior approaches.,"The microgrid RL literature reports detailed BESS modeling of thermal, aging, and electrical behavior in surveyed prior approaches.",0.5588,5,False,False,low,False
SBV2-ALL92-G140,digital_twin,"Based on our simulation results, we observe that the proposed framework achieves a 37% improvement in 95th percentile latency and a 30% reduction in energy consumption compared to the existing literature.",The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower energy consumption than prior literature baselines.,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower energy consumption than prior literature benchmarks.,The 6G twin framework reported 60% lower 95th-percentile latency and 50% lower energy consumption than prior literature baselines.,The 6G twin framework reported higher 95th-percentile latency and higher energy consumption than prior literature baselines in simulations.,0.8217,3,False,True,medium,False
SBV2-ALL92-G141,digital_twin,"Given this limitation, meeting the low-latency service requirement of 6G networks becomes even more challenging.",The 6G IoT study states that low-latency service requirements become more challenging under the stated resource limitation condition.,The 6G IoT study states that low-latency service requirements and energy efficiency become more challenging under the stated resource limitation.,The 6G IoT study states that low-latency service requirements become infeasible under the stated resource limitation condition for smart cities.,The 6G IoT study states that low-latency service requirements become easier under the stated resource limitation condition for smart cities.,0.6921,5,False,False,low,False
SBV2-ALL92-G144,digital_twin,"Traditional passive safety analysis methods, which rely on historical crash data and retrospective accident studies, face serious limitations in today’s data-scarce and technologically evolving environments [8].",Traditional passive safety analysis methods face serious limitations in data-scarce and evolving environments because they rely on historical crash data.,Traditional passive safety analysis methods face serious limitations in data-scarce and evolving environments because they rely on historical crash data and early-warning measures.,Traditional passive safety analysis methods face serious limitations for evaluating emerging mobility systems under data-scarce and evolving environments because historical crash records provide a narrow retrospective basis.,Traditional passive safety analysis methods remain well suited to data-scarce and evolving environments because they rely on historical crash data.,0.6081,5,False,False,low,False
SBV2-ALL92-G145,digital_twin,"As proof of concept, we implemented APDT in a university campus setting on a sub- network, utilizing historical data from three access points and simulating scenarios based on real-time configurations.",APDT was implemented as a proof of concept on a university campus subnet with historical data from three access points.,APDT was implemented as a proof of concept on a university campus subnet with historical data from several access points.,APDT was implemented as a proof of concept for campus network management with predictive simulations based on real-time configurations.,APDT was implemented as a proof of concept in a laboratory subnet with synthetic data rather than campus access-point records.,0.4,5,False,False,low,False
SBV2-ALL92-G146,digital_twin,"The results yielded an impressive simulation accuracy of 85.03%, alongside predictions from the predictive model, underscoring APDT’s potential for robust network optimization and man- agement.","APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for network optimization and management in the study.","APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for broader network optimization and management workflows.","APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating conclusive performance for network optimization and management workflows.","APDT reported substantially lower simulation accuracy with predictive-model outputs, weakening its potential for network optimization and management workflows.",0.6714,5,False,False,low,False
SBV2-ALL92-G158,robotics,"In addition to success rate (defined as the percentage of episodes that meet task-specific thresholds), we report continuous evaluation metrics to capture control precision and stability: Final Distance Error (m): Euclidean distance to the goal at the end of the episode.","NavBench reports success rate and continuous metrics, including final distance error, to measure task completion and control precision.","NavBench reports success rate and continuous metrics, including final distance error, to measure task completion and trajectory smoothness.","NavBench reports success rate and final distance error as direct measures of task completion, control precision, stability, and physical robot transfer.",NavBench reports success rate while treating final distance error as unrelated to task completion and control precision metrics.,0.5617,5,False,False,low,False
SBV2-ALL92-G161,robotics,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while acknowledging limited fine-tuned performance potential.,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while implying competitive fine-tuned performance potential.,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while presenting strong fine-tuned performance as a central contribution.,The Isaac-to-Gazebo work describes its approach as disconnected from low-code applications while highlighting superior fine-tuned performance as its focus.,0.5967,5,False,False,low,False
SBV2-ALL92-G163,robotics,We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.,The study evaluates context-aware agents in a canonical control benchmark and a physical pushing task with a Franka Panda robot.,"The study evaluates context-aware agents in a canonical control benchmark, a physical pushing task, and a mobile manipulation test.",The study evaluates context-aware agents in a canonical control benchmark and multiple physical manipulation platforms with Franka and mobile robots.,The study evaluates context-aware agents in a visual language benchmark rather than a physical pushing task with a Franka Panda robot.,0.5131,5,False,False,low,False
SBV2-ALL92-G164,robotics,"The results show that the context-conditioned policy often significantly outperforms the context-agnostic one, especially when the task is sensitive to changes in environment dynamics, underscoring the potential benefits of incorporating context.","The results show context-conditioned agents often outperform context-agnostic agents, especially when performance depends strongly on environment dynamics changes.","The results show context-conditioned agents often outperform context-agnostic agents, especially when performance depends strongly on environment dynamics and sensor noise.",The results show context-conditioned agents outperform context-agnostic agents in dynamics-insensitive cases as much as in dynamics-sensitive cases benchmarks.,"The results show context-agnostic agents often outperform context-conditioned agents, especially when performance depends strongly on environment dynamics changes.",0.5888,3,False,True,medium,False
SBV2-ALL92-G166,robotics,"Having the highest possible value of the reward function at 0 makes learning the Q-function much more stable than having an optimal value that is positive, since a successful swing-up policy does not suddenly change the Q-values of all previous states and thus prevents policy degradation after learning successful swing-ups.",The reward design sets the highest value at zero to stabilize Q-function learning and reduce degradation after successful swing-ups.,The reward design sets the highest value at zero to stabilize Q-function learning and accelerate training after successful swing-ups.,The reward design sets the highest value at zero to stabilize Q-function learning under positive and zero-valued optimal rewards.,The reward design sets the highest value above zero to stabilize Q-function learning and reduce degradation after successful swing-ups.,0.6758,3,False,True,medium,False
SBV2-ALL92-G167,robotics,In order to get a clear understanding of their individual strengths and weaknesses and their applicability in real world robotic scenarios is it important to benchmark and compare their performances not only in a simulation but also on real hard- ware.,The RealAIGym paper argues algorithm comparison benefits from benchmarking performance in both simulation and physical hardware experiments together.,"The RealAIGym paper argues algorithm comparison benefits from benchmarking performance in simulation, visual transfer tests, and physical hardware experiments together.",The RealAIGym paper argues algorithm comparison proves reliable control after benchmarking performance in simulation and physical hardware experiments together.,The RealAIGym paper argues algorithm comparison benefits from benchmarking performance in simulation rather than physical hardware experiments together.,0.7173,4,False,True,medium,False
SBV2-ALL92-G168,robotics,"The core algorithm used is Soft Actor-Critic (SAC) [18], a state-of-the-art RL method designed for continuous action spaces.","The RealAIGym implementation relies on Soft Actor-Critic, an RL method designed for continuous action spaces, as its core algorithm.","The RealAIGym implementation relies on Soft Actor-Critic, an RL method designed for continuous and discrete action spaces, as its core algorithm.",The RealAIGym implementation relies on Soft Actor-Critic as the central benchmark architecture for continuous action spaces and evaluation design.,The RealAIGym implementation relies on PPO rather than Soft Actor-Critic as its core algorithm for continuous action spaces.,0.5957,5,False,False,low,False
SBV2-ALL92-G170,robotics,"In multi-task generalization experiments, our method achieves a success rate of 83% on trained tasks and 75% on unseen tasks in simulation.","In simulation, GRaD-Nav++ reports success rates of 83% on trained tasks and 75% on unseen tasks during evaluation.","In simulation, GRaD-Nav++ reports success rates of 83% on trained tasks and 75% on unseen multi-stage tasks during evaluation.","In simulation, GRaD-Nav++ reports success rates above 90% on trained tasks and 75% on unseen tasks during evaluation.","In simulation, GRaD-Nav++ reports success rates of 75% on trained tasks and 83% on unseen tasks during evaluation.",0.95,1,False,True,medium,False
SBV2-ALL92-G172,robotics,"We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPilot flight- controller-based SuTs, (b) analyzing the performance of each agent, and (c) gathering feedback from sUAS developers.","The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and feedback collection from sUAS developers.","The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and structured feedback collection from multiple sUAS developers.","The study evaluated its approach through PX4, ArduPilot, and hardware flight testing, agent performance analysis, and feedback collection from sUAS developers.","The study evaluated its approach through field trials rather than PX4 or ArduPilot simulation testing, agent performance analysis, and developer feedback.",0.6648,5,False,False,low,False
SBV2-ALL92-G175,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a parallel-environment Q-learning algorithm method.","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.","The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treating each method as a parallel-environment Q-learning algorithm.",The Craftax-Coop evaluation compares MAPPO with PPO-RNN and SAC rather than IPPO or PQN as companion algorithms in the comparison.,0.4271,5,False,False,low,False
SBV2-ALL92-G178,marl,"We evaluate 13 modern LLMs zero-shot within homogeneous teams, with trained MARL agents as reference points.","The ALEM evaluation tests thirteen modern LLMs zero-shot in homogeneous teams, with trained MARL agents as reference points for comparison.","The ALEM evaluation tests thirteen modern LLMs zero-shot in homogeneous and mixed teams, with trained MARL agents as reference points.",The ALEM evaluation trains thirteen modern LLMs with MARL agents in homogeneous teams before comparing them as reference points directly.,"The ALEM evaluation tests trained MARL agents zero-shot in homogeneous teams, with modern LLMs serving as reference points for comparison.",0.6954,4,False,True,medium,True
SBV2-ALL92-G180,marl,"Performance does not saturate: coordination and total reward continue improv- ing late in training, and total reward remains well below the maximum achievable score.","Extended ALEM training shows unsaturated performance, with coordination and total reward improving late while total reward stays below the maximum score.","Extended ALEM training shows near-saturated performance, with coordination and total reward improving late while total reward stays below the maximum score.","Extended ALEM training shows saturated performance, with coordination and total reward reaching the maximum score by the late phase.","Extended ALEM training shows flat performance, with coordination and total reward staying unchanged late while total reward reaches the maximum score.",0.6566,5,False,False,low,False
SBV2-ALL92-G185,marl,"Reinforcement learning (RL) offers a promising approach, but its industrial adoption remains limited due to challenges such as reward design, modularity, and action space management.","The industrial-control paper says reinforcement learning adoption remains limited by reward design, modularity, and action-space management challenges in industrial processes.","The industrial-control paper says reinforcement learning adoption remains limited by reward design, modularity, action-space management, and sensor calibration challenges.","The industrial-control paper says reinforcement learning adoption is mature because reward design, modularity, and action-space management are solved in industrial processes.","The industrial-control paper says reinforcement learning adoption is mainly limited by hardware costs rather than reward design, modularity, or action-space management.",0.6048,5,False,False,medium,False
SBV2-ALL92-G186,marl,"Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.","The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, limiting transfer to industrial applications in practice.","The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, limiting transfer to industrial and logistics applications.","The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, yet still provide reliable transfer to industrial applications.","The industrial-control paper argues many academic benchmarks closely match industrial control problems, supporting direct transfer to industrial applications in practice.",0.6542,5,False,False,low,False
SBV2-ALL92-G187,marl,"Third, we evaluate CL methods com- bined with MARL algorithms, showing that experimental conclusions can change as task sequences lengthen, and that retaining cooperative behavior is a distinct challenge that worsens with more agents, harder tasks, and changing partners.","The MEAL study evaluates continual-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.","The MEAL study evaluates continual-learning methods with MARL algorithms and reports stable conclusions as sequence length, agent count, difficulty, and partners increase.","The MEAL study evaluates continual-learning methods with MARL algorithms and reports solved cooperation as sequence length, agent count, difficulty, and partners increase.","The MEAL study evaluates supervised-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.",0.8077,4,False,True,medium,True
SBV2-ALL92-G190,marl,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior.",Tool-RoCo evaluates four cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,Tool-RoCo evaluates five cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,Tool-RoCo evaluates four cooperation paradigms under separate experiment designs while comparing LLM autonomy and collaborative behavior systematically in the benchmark.,Tool-RoCo evaluates a single cooperation paradigm under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,0.677,4,False,True,medium,False
SBV2-ALL92-G193,marl,"Resolution must either come from mutual agreement between principals, from a pre-agreed arbitration policy, or from escalation to an agreed arbiter—all of which need to be first-class protocol features, not implementation details.","The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as first-class resolution features.","The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and unilateral owner choice as first-class resolution features.","The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as automatic conflict-resolution features for every dispute.",The multi-principal agent paper presents centralized fiat by one meta-agent as the main resolution feature for agent disagreements between principals.,0.4089,5,False,False,low,False
SBV2-ALL92-G196,marl,"We evaluate the proposed algorithm in three widely used continuous-action benchmark environ- ments: Multi-Agent Particle Environment, Multi-Agent Mu- JoCo, and Bi-DexHands.","The HIS evaluation includes three continuous-action benchmark environments: Multi-Agent Particle Environment, Multi-Agent MuJoCo, and Bi-DexHands as its experimental suite.",The HIS evaluation includes three continuous-action benchmark environments and treats them as representative of collaborative benchmark coverage in evaluation.,The HIS evaluation includes three continuous-action benchmark environments and reports them as covering the main MARL benchmark families.,The HIS evaluation excludes continuous-action benchmark environments and focuses instead on single-agent discrete benchmark suites for its experiments.,0.3234,5,False,False,low,False
SBV2-ALL92-G197,marl,"Experimental results demonstrate that HIS outperforms state-of-the-art methods, particularly excelling in strongly coupled, complex collaborative tasks.","The HIS results report stronger performance than state-of-the-art methods, with particular gains in strongly coupled, complex collaborative problems.","The HIS results report stronger performance than state-of-the-art methods, with particular gains in both strongly coupled and loosely coupled collaborative problems.",The HIS results report stronger performance than state-of-the-art methods and mark HIS as the leading method for complex collaborative problems.,"The HIS results report weaker performance than state-of-the-art methods, with particular losses in strongly coupled, complex collaborative problems.",0.6611,4,False,True,medium,True
SBV2-ALL92-G198,marl,"However, tra- ditional credit assignment schemes in MARL cannot re- liably capture individual contributions in strongly coupled tasks while maintaining training stability, which leads to lim- ited generalization capabilities and hinders algorithm perfor- mance.",Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in strongly coupled problems while preserving training stability.,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in moderately coupled problems while preserving training stability.,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in cooperative MARL problems while preserving training stability.,Traditional MARL credit assignment schemes are described as reliable for individual contribution capture in strongly coupled problems while preserving training stability.,0.8285,3,False,True,medium,False
SBV2-ALL92-G205,marl,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels.",WFCRL implements an interface between its simulator and Python wind farm environment through MPI channels to support RL research libraries.,WFCRL implements an interface between its simulator and Python wind farm environments through MPI channels to support RL research libraries.,WFCRL implements a Python-based simulator core through MPI channels that handles the wind farm environment computations for RL research libraries.,WFCRL keeps the simulator separate from Python wind farm environment execution rather than linking the two through MPI communication channels.,0.4915,5,False,False,low,False
SBV2-ALL92-G213,marl,"However, the optimisation in the most general setting: in- dividual utility functions, remains unsolved.",The paper states that optimization with individual utility functions remains unresolved in the broadest MAMO case covered by the discussion.,The paper states that optimization with individual utility functions and shared utility functions remains unresolved in the broadest MAMO case.,"The paper states that optimization with individual utility functions remains unresolved for private, shared, and social welfare utilities in MAMO.",The paper states that optimization with individual utility functions is solved in the broadest MAMO case covered by the discussion.,0.6108,4,False,True,medium,True
SBV2-ALL92-G214,policy_simulation,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation.",The benchmark reports its best-performing system at 24.5% accuracy on broad cases and 15.04% accuracy on targeted sub-tasks.,The benchmark reports its best-performing system above 30% accuracy on broad cases and 15.04% accuracy on targeted sub-tasks.,The benchmark reports its best-performing system above 60% accuracy on broad cases and 45% accuracy on targeted sub-tasks.,The benchmark reports its best-performing system below 10% accuracy on broad cases and 5% accuracy on targeted sub-tasks.,1.0,1,False,True,medium,False
