sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,claim_text,evidence_text
LLM_064,SBV2-ALL92-G057-C02,mild_scope_overclaim,autonomous_driving,AD-020,"The regulation example treats [70, 60, 40] mph as compliant and [70, 50, 30] mph","For example, pointing at the downstream of traffic, a sequence of speed limits s",runtime_check_needed,none,"The regulation example treats [70, 60, 40] mph as compliant and [70, 50, 30] mph as exceeding the maximum speed differential.","For example, pointing at the downstream of traffic, a sequence of speed limits set at [70, 60, 50] mph complies with this regulation, whereas [70, 50, 30] mph does not, as it features a differential of 20 mph, exceeding the permissible maximum."
LLM_065,SBV2-ALL92-G003-MILD,mild_scope_overclaim,autonomous_driving,AD-001,nuPlan-R presents a reactive closed-loop planning benchmark that integrates lear,"To address these limitations, we present nuPlan-R, a new reactive closed-loop pl",runtime_check_needed,none,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework."
LLM_066,SBV2-ALL92-G021-C02,mild_scope_overclaim,autonomous_driving,AD-007,The experiments highlight limitations of current VLM-based end-to-end vehicle sy,"Through extensive experi- ments, our work highlights the limitations of current ",runtime_check_needed,none,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a more reliable general solution.,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment."
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,cyber_defense,CYB-009,The comparisons show the hierarchical learning approach achieving top performanc,Comparisons with multiple baselines across different adversaries show that our h,runtime_check_needed,cyber_defense,"The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and resource costs with multiple adversaries.","Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives."
LLM_068,SBV2-ALL92-G086-C02,mild_scope_overclaim,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 16 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense,"Against the aggressive red agent, proactive-v2 lasts 16 time steps, beating proactive-v1 at 12 and baseline at 10 in the aggressive red-agent evaluation.","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents."
LLM_069,SBV2-ALL92-G087-C02,mild_scope_overclaim,cyber_defense,CYB-007,Human designers face substantial cognitive limitations when developing reward mo,"As cyber environments evolve with increasingly sophisticated attack vectors, adv",runtime_check_needed,cyber_defense,Human designers face substantial cognitive limitations when developing reward models for nuanced cyber operation dynamics and response timing for the autonomous cyber-defense reward design problem.,"As cyber environments evolve with increasingly sophisticated attack vectors, advanced detection methodologies, and expansive network architectures, human designers face substantial cognitive limitations in developing comprehensive reward models that accurately capture the nuanced dynamics of cy- ber operations."
LLM_070,SBV2-ALL92-G079-C02,mild_scope_overclaim,cyber_defense,CYB-005,The Q-BIRD study evaluates the approach in a simulated IoV security environment ,We evaluate the approach in a simulated IoV security environment with an adaptiv,runtime_check_needed,cyber_defense,The Q-BIRD study evaluates the approach in a simulated IoV security environment with two adaptive attackers during the simulated IoV defense experiment.,"We evaluate the approach in a simulated IoV security environment with an adaptive attacker that strategically probes, attacks, and evades detection."
LLM_071,SBV2-ALL92-G083-C02,mild_scope_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.925 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.925 and mitigation success from 84.7% to 89.6% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_072,SBV2-ALL92-G069-C02,mild_scope_overclaim,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained mainly by li,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities remains constrained mainly by limited access to open, reproducible, multi-host cyber-range infrastructure for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
LLM_073,SBV2-ALL92-G093-C02,mild_scope_overclaim,cyber_defense,CYB-009,The paper leaves H-MARL transferability to evolving adversaries that adapt from ,We leave as future work the study of H-MARL transferability to evolving adversar,runtime_check_needed,cyber_defense,"The paper leaves H-MARL transferability to evolving adversaries that adapt from opponent behavior, environment feedback, or attacker coordination as future work.",We leave as future work the study of H-MARL transferability to evolving adversaries that adapt their policies based on opponent behavior or environment feedback.
LLM_074,SBV2-ALL92-G145-C02,mild_scope_overclaim,digital_twin,DT-016,APDT was implemented as a proof of concept on a university campus subnet with hi,"As proof of concept, we implemented APDT in a university campus setting on a sub",runtime_check_needed,none,APDT was implemented as a proof of concept on a university campus subnet with historical data from several access points.,"As proof of concept, we implemented APDT in a university campus setting on a sub- network, utilizing historical data from three access points and simulating scenarios based on real-time configurations."
LLM_075,SBV2-ALL92-G122-C02,mild_scope_overclaim,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors for broader management forecasting.,"Trained on a real-world-inspired dataset with segment attributes and dynamic connectivity, our model achieves an R2 of 0.3798, outperforming baseline regressors and effectively capturing non-linear degradation."
LLM_076,SBV2-ALL92-G124-C02,mild_scope_overclaim,digital_twin,DT-009,The gFHR design process treated surrogate prediction accuracy and sensor-monitor,The design choice process considered the accuracy of the gFHR surrogate predicti,runtime_check_needed,none,The gFHR design process treated surrogate prediction accuracy and sensor-monitorable reactor states as central factors during later state selection in the study.,The design choice process considered the accuracy of the gFHR surrogate predictions and selecting states that could be realistically monitored with sensors in the reactor setting.
LLM_077,SBV2-ALL92-G107-C02,mild_scope_overclaim,digital_twin,DT-002,The approach jointly calibrates the digital twin and searches for an optimal con,"This dual- component approach provably converges to the optimal policy, and outp",runtime_check_needed,none,"The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and a manufacturing benchmark.","This dual- component approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain."
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,digital_twin,DT-005,GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer reg,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but ",runtime_check_needed,none,"GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer regulations overall, favoring precision over recall in the reported example.","For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but extracted fewer regulations overall, suggest- ing a conservative strategy that favors precision over recall."
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,digital_twin,DT-002,The paper describes its method as theoretically justified and not reliant on res,"To the best of our knowledge, ours is the first theoretically justified MBRL met",runtime_check_needed,none,The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions or fixed noise terms in its design.,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions."
LLM_080,SBV2-ALL92-G128-C02,mild_scope_overclaim,digital_twin,DT-010,"The clinical decision method achieved the top mean return, the lowest seed varia",Our method achieves the top mean return and the lowest standard deviation across,runtime_check_needed,none,"The clinical decision method achieved the top mean return, the lowest seed variation, and the best Sharpe-like index for treatment quality.","Our method achieves the top mean return and the lowest standard deviation across seeds, which leads to the best Sharpe-like index."
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,digital_twin,DT-012,The microgrid RL literature limitation concerns simplified BESS modeling that fo,"Regardless of the adopted RL methods, a common limitation in these approaches is",runtime_check_needed,none,The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in several prior approaches.,"Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior."
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,marl,MARL-008,Traditional MARL credit assignment schemes are described as unreliable for indiv,"However, tra- ditional credit assignment schemes in MARL cannot re- liably captu",runtime_check_needed,marl,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in moderately coupled problems while preserving training stability.,"However, tra- ditional credit assignment schemes in MARL cannot re- liably capture individual contributions in strongly coupled tasks while maintaining training stability, which leads to lim- ited generalization capabilities and hinders algorithm perfor- mance."
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,marl,MARL-011,WFCRL implements an interface between its simulator and Python wind farm environ,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl,WFCRL implements an interface between its simulator and Python wind farm environments through MPI channels to support RL research libraries.,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels."
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,marl,MARL-001,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents indepe","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop envir",runtime_check_needed,marl,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training."
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,marl,MARL-006,Tool-RoCo evaluates five cooperation paradigms under a common experiment design ,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl,Tool-RoCo evaluates five cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior."
LLM_086,SBV2-ALL92-G178-C02,mild_scope_overclaim,marl,MARL-002,The ALEM evaluation tests thirteen modern LLMs zero-shot in homogeneous and mixe,"We evaluate 13 modern LLMs zero-shot within homogeneous teams, with trained MARL",runtime_check_needed,marl,"The ALEM evaluation tests thirteen modern LLMs zero-shot in homogeneous and mixed teams, with trained MARL agents as reference points.","We evaluate 13 modern LLMs zero-shot within homogeneous teams, with trained MARL agents as reference points."
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,marl,MARL-002,"Extended ALEM training shows near-saturated performance, with coordination and t",Performance does not saturate: coordination and total reward continue improv- in,runtime_check_needed,marl,"Extended ALEM training shows near-saturated performance, with coordination and total reward improving late while total reward stays below the maximum score.","Performance does not saturate: coordination and total reward continue improv- ing late in training, and total reward remains well below the maximum achievable score."
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,policy_simulation,POL-015,The paper says MobileCity gains efficiency at scale partly by disabling LLM modu,GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; Mobil,runtime_check_needed,none,"The paper says MobileCity gains efficiency at scale partly by disabling LLM modules and planner modules, trading behavioral fidelity for speed.","GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; MobileCity achieves efficiency partly by dis- abling LLM modules at scale, trading behavioral fi- delity for speed."
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,policy_simulation,POL-015,The paper says the benchmark indicates large speedup potential relative to onlin,"While absolute throughput depends on hardware and implementation details, this b",runtime_check_needed,none,"The paper says the benchmark indicates large speedup potential relative to online LLM inference, with throughput depending on hardware and routing details.","While absolute throughput depends on hardware and implementation details, this benchmark highlights the potential for large speedups relative to online LLM inference in typical settings."
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,policy_simulation,POL-018,The framework maps six-point Likert answers to ordinal scores and pools both sur,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none,The framework maps six-point Likert answers to ordinal scores and pools both surveys before averaging agent infection-risk values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data."
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,policy_simulation,POL-016,The paper reports a 20.7% improvement in macro averaged prediction error over gr,"On a held out test period, our calibrated digi- tal twin achieves a 20.7% improv",runtime_check_needed,none,The paper reports a 20.7% improvement in macro averaged prediction error over gradient boosting baselines for eight behavioral categories.,"On a held out test period, our calibrated digi- tal twin achieves a 20.7% improvement in macro averaged prediction error over gradient boosting baselines across six behavioral categories."
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,policy_simulation,POL-013,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, seve","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling ",runtime_check_needed,none,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, several population sizes, and richer actions for later work.","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work."
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,policy_simulation,POL-014,"The paper says future work focuses on validation frameworks for accuracy, reliab",Future work focuses on establishing robust validation frameworks to ensure accur,runtime_check_needed,none,"The paper says future work focuses on validation frameworks for accuracy, reliability, transferability, and urban planning application studies.",Future work focuses on establishing robust validation frameworks to ensure accuracy and reliability in urban planning applications.
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,policy_simulation,POL-005,"The heatwave model reports steeper declines in perceived safety, social connecti",Preliminary results show primarily psychosocial impacts distributed inequitably:,runtime_check_needed,none,"The heatwave model reports steeper declines in perceived safety, social connection, and comfort for highly vulnerable agents than low-vulnerability peers.",Preliminary results show primarily psychosocial impacts distributed inequitably: highly vulnerable agents exhibit steeper declines in perceived safety and social connection than low-vulnerability peers.
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,policy_simulation,POL-001,The ABM discussion says decision-support effectiveness remains uncertain because,"Agent-based models (ABMs) have emerged as a promising approach, capturing indivi",runtime_check_needed,none,"The ABM discussion says decision-support effectiveness remains uncertain because calibration and heterogeneous data integration require expertise, while interpretation is resolved.","Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise."
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,policy_simulation,POL-016,The paper says a calibration layer maps aggregated agent responses and subgroup ,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none,The paper says a calibration layer maps aggregated agent responses and subgroup narratives to observable population metrics for counterfactual intervention analysis.,"A calibration layer maps aggregated agent responses to observable population level metrics, enabling validation against real world data and deployment for counterfactual policy analysis."
LLM_097,SBV2-ALL92-G166-C02,mild_scope_overclaim,robotics,MARL-017,The reward design sets the highest value at zero to stabilize Q-function learnin,Having the highest possible value of the reward function at 0 makes learning the,runtime_check_needed,none,The reward design sets the highest value at zero to stabilize Q-function learning and accelerate training after successful swing-ups.,"Having the highest possible value of the reward function at 0 makes learning the Q-function much more stable than having an optimal value that is positive, since a successful swing-up policy does not suddenly change the Q-values of all previous states and thus prevents policy degradation after learning successful swing-ups."
LLM_098,SBV2-ALL92-G167-C02,mild_scope_overclaim,robotics,MARL-017,The RealAIGym paper argues algorithm comparison benefits from benchmarking perfo,In order to get a clear understanding of their individual strengths and weakness,runtime_check_needed,none,"The RealAIGym paper argues algorithm comparison benefits from benchmarking performance in simulation, visual transfer tests, and physical hardware experiments together.",In order to get a clear understanding of their individual strengths and weaknesses and their applicability in real world robotic scenarios is it important to benchmark and compare their performances not only in a simulation but also on real hard- ware.
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,robotics,MARL-019,"The study evaluated its approach through PX4 and ArduPilot simulation testing, a",We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPi,runtime_check_needed,none,"The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and structured feedback collection from multiple sUAS developers.","We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPilot flight- controller-based SuTs, (b) analyzing the performance of each agent, and (c) gathering feedback from sUAS developers."
LLM_100,SBV2-ALL92-G163-C02,mild_scope_overclaim,robotics,MARL-016,"The study evaluates context-aware agents in a canonical control benchmark, a phy",We evaluate the resulting context-aware policies in both a canonical control ben,runtime_check_needed,none,"The study evaluates context-aware agents in a canonical control benchmark, a physical pushing task, and a mobile manipulation test.",We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with sixteen NVIDIA A6000 GPUs an,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none,The experiment setup trained the SAC algorithm with sixteen NVIDIA A6000 GPUs and one hundred CPUs for forty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours."
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases."
LLM_103,SBV2-ALL92-G019-C03,strong_action_overclaim,autonomous_driving,AD-007,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four ep,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four epochs on nuScenes and Waymo with a learning rate of 2e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4."
LLM_104,SBV2-ALL92-G013-C03,strong_action_overclaim,autonomous_driving,AD-005,The Bench2Drive-R study implements a closed-loop interactive simulation platform,"Further, we implement a closed-loop interactive end-to- end simulation platform ",runtime_check_needed,none,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan."
LLM_105,SBV2-ALL92-G030-C03,strong_action_overclaim,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains a significant b,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none,"The paper states that safety under open-world conditions remains a significant barrier, and current benchmark data resolves the barrier for large-scale adoption.","Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment."
LLM_106,SBV2-ALL92-G004-STRONG,strong_action_overclaim,autonomous_driving,AD-002,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVI",Experimental Setup All experiments are conducted on a desktop PC with an Intel C,runtime_check_needed,none,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware."
LLM_107,SBV2-ALL92-G042-C03,strong_action_overclaim,autonomous_driving,AD-015,DriveE2E introduces a closed-loop evaluation framework that integrates recorded ,"To address these limitations, we introduce a simple yet challenging closed-loop ",runtime_check_needed,none,DriveE2E introduces a closed-loop evaluation framework that integrates recorded traffic cases into CARLA through infrastructure cooperation and calibrated city-scale twins.,"To address these limitations, we introduce a simple yet challenging closed-loop evaluation framework that closely integrates real-world driving scenarios into the CARLA simulator with infrastructure cooperation."
LLM_108,SBV2-ALL92-G014-C03,strong_action_overclaim,autonomous_driving,AD-005,Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea",runtime_check_needed,none,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score."
LLM_109,SBV2-ALL92-G025-C03,strong_action_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehic",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, sensor-fusion, and text-centric VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench."
LLM_110,SBV2-ALL92-G018-C03,strong_action_overclaim,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indic","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations."
LLM_111,SBV2-ALL92-G043-C03,strong_action_overclaim,autonomous_driving,AD-016,HABIT evaluates seven recent end-to-end autonomy agents on semantically grounded,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none,HABIT evaluates seven recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.
LLM_112,SBV2-ALL92-G034-C03,strong_action_overclaim,autonomous_driving,AD-012,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to prov,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to provide definitive conclusions on current status and future directions.,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, providing insights regarding current status and future directions."
LLM_113,SBV2-ALL92-G027-C03,strong_action_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects, interventio","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none,"ScenePilot-Bench remains open-loop, with downstream control effects, intervention timing, and recovery behavior in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system."
LLM_114,SBV2-ALL92-G032-C03,strong_action_overclaim,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, real-time planning, and trajectory-control accuracy.","We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_115,SBV2-ALL92-G040-C03,strong_action_overclaim,autonomous_driving,AD-015,DriveE2E implements twelve classical E2EAD models as baseline methods for the ex,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,DriveE2E implements twelve classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.
LLM_116,SBV2-ALL92-G038-C03,strong_action_overclaim,autonomous_driving,AD-014,NAVSIM reports challenging evaluation scenarios where the constant-velocity agen,"The resulting scenarios are challenging, which is underlined by the score of the",runtime_check_needed,none,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 12% and the human expert scores 98% in testing.,"The resulting scenarios are challenging, which is underlined by the score of the constant velocity agent dropping to 22%, whereas the human expert achieves a score of 95%."
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitigation success from 84.7% to 95.0% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_118,SBV2-ALL92-G098-C03,strong_action_overclaim,cyber_defense,CYB-011,The approach outperforms an MLP baseline during training on fixed-size networks ,We demonstrate that this approach significantly outperforms an MLP-based policy ,runtime_check_needed,cyber_defense,The approach outperforms an MLP baseline during training on fixed-size networks with varying topologies and exceeds performance on unseen larger networks.,"We demonstrate that this approach significantly outperforms an MLP-based policy when training across fixed-size networks of varying topologies, and matches performance when training on a single network."
LLM_119,SBV2-ALL92-G082-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain is evaluated in a realistic enterprise testbed with live CALDERA-driv,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven AP,runtime_check_needed,cyber_defense,DeepXplain is evaluated in a realistic enterprise testbed with live CALDERA-driven APT campaign emulation during the enterprise APT evaluation benchmark.,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven APT scenarios [5].
LLM_120,SBV2-ALL92-G093-C03,strong_action_overclaim,cyber_defense,CYB-009,The paper presents H-MARL transferability to evolving adversaries that adapt fro,We leave as future work the study of H-MARL transferability to evolving adversar,runtime_check_needed,cyber_defense,"The paper presents H-MARL transferability to evolving adversaries that adapt from opponent behavior, environment feedback, and live defender telemetry as evaluated.",We leave as future work the study of H-MARL transferability to evolving adversaries that adapt their policies based on opponent behavior or environment feedback.
LLM_121,SBV2-ALL92-G086-C03,strong_action_overclaim,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 20 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense,"Against the aggressive red agent, proactive-v2 lasts 20 time steps, beating proactive-v1 at 12 and baseline at 10 in the aggressive red-agent evaluation.","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents."
LLM_122,SBV2-ALL92-G069-C03,strong_action_overclaim,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained by missing o,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities remains constrained by missing open, reproducible, multi-host cyber-range infrastructure for frontier systems for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
