sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,claim_text,evidence_text
LLM_111,SBV2-ALL92-G043-C03,strong_action_overclaim,autonomous_driving,AD-016,HABIT evaluates seven recent end-to-end autonomy agents on semantically grounded,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none,HABIT evaluates seven recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.
LLM_112,SBV2-ALL92-G034-C03,strong_action_overclaim,autonomous_driving,AD-012,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to prov,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to provide definitive conclusions on current status and future directions.,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, providing insights regarding current status and future directions."
LLM_113,SBV2-ALL92-G027-C03,strong_action_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects, interventio","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none,"ScenePilot-Bench remains open-loop, with downstream control effects, intervention timing, and recovery behavior in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system."
LLM_114,SBV2-ALL92-G032-C03,strong_action_overclaim,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, real-time planning, and trajectory-control accuracy.","We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_115,SBV2-ALL92-G040-C03,strong_action_overclaim,autonomous_driving,AD-015,DriveE2E implements twelve classical E2EAD models as baseline methods for the ex,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,DriveE2E implements twelve classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.
LLM_116,SBV2-ALL92-G038-C03,strong_action_overclaim,autonomous_driving,AD-014,NAVSIM reports challenging evaluation scenarios where the constant-velocity agen,"The resulting scenarios are challenging, which is underlined by the score of the",runtime_check_needed,none,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 12% and the human expert scores 98% in testing.,"The resulting scenarios are challenging, which is underlined by the score of the constant velocity agent dropping to 22%, whereas the human expert achieves a score of 95%."
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitigation success from 84.7% to 95.0% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_118,SBV2-ALL92-G098-C03,strong_action_overclaim,cyber_defense,CYB-011,The approach outperforms an MLP baseline during training on fixed-size networks ,We demonstrate that this approach significantly outperforms an MLP-based policy ,runtime_check_needed,cyber_defense,The approach outperforms an MLP baseline during training on fixed-size networks with varying topologies and exceeds performance on unseen larger networks.,"We demonstrate that this approach significantly outperforms an MLP-based policy when training across fixed-size networks of varying topologies, and matches performance when training on a single network."
LLM_119,SBV2-ALL92-G082-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain is evaluated in a realistic enterprise testbed with live CALDERA-driv,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven AP,runtime_check_needed,cyber_defense,DeepXplain is evaluated in a realistic enterprise testbed with live CALDERA-driven APT campaign emulation during the enterprise APT evaluation benchmark.,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven APT scenarios [5].
LLM_120,SBV2-ALL92-G093-C03,strong_action_overclaim,cyber_defense,CYB-009,The paper presents H-MARL transferability to evolving adversaries that adapt fro,We leave as future work the study of H-MARL transferability to evolving adversar,runtime_check_needed,cyber_defense,"The paper presents H-MARL transferability to evolving adversaries that adapt from opponent behavior, environment feedback, and live defender telemetry as evaluated.",We leave as future work the study of H-MARL transferability to evolving adversaries that adapt their policies based on opponent behavior or environment feedback.
LLM_121,SBV2-ALL92-G086-C03,strong_action_overclaim,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 20 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense,"Against the aggressive red agent, proactive-v2 lasts 20 time steps, beating proactive-v1 at 12 and baseline at 10 in the aggressive red-agent evaluation.","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents."
LLM_122,SBV2-ALL92-G069-C03,strong_action_overclaim,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained by missing o,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities remains constrained by missing open, reproducible, multi-host cyber-range infrastructure for frontier systems for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
LLM_123,SBV2-ALL92-G091-C03,strong_action_overclaim,cyber_defense,CYB-009,The study evaluates its methods against multiple baselines at every design stage,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense,The study evaluates its methods against multiple baselines at every design stage to validate the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.
LLM_124,SBV2-ALL92-G141-C03,strong_action_overclaim,digital_twin,DT-014,The 6G IoT study states that low-latency service requirements become infeasible ,"Given this limitation, meeting the low-latency service requirement of 6G network",runtime_check_needed,none,The 6G IoT study states that low-latency service requirements become infeasible under the stated resource limitation condition for smart cities.,"Given this limitation, meeting the low-latency service requirement of 6G networks becomes even more challenging."
LLM_125,SBV2-ALL92-G144-C03,strong_action_overclaim,digital_twin,DT-015,Traditional passive safety analysis methods face serious limitations for evaluat,"Traditional passive safety analysis methods, which rely on historical crash data",runtime_check_needed,none,Traditional passive safety analysis methods face serious limitations for evaluating emerging mobility systems under data-scarce and evolving environments because historical crash records provide a narrow retrospective basis.,"Traditional passive safety analysis methods, which rely on historical crash data and retrospective accident studies, face serious limitations in today’s data-scarce and technologically evolving environments [8]."
LLM_151,SBV2-ALL92-G018-C04,contradiction_candidate,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indi","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indicating current models face minimal limitations in closed-loop evaluation in this study.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations."
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,autonomous_driving,AD-015,DriveE2E implements no classical E2EAD models as baseline methods for the experi,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,DriveE2E implements no classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.
LLM_153,SBV2-ALL92-G038-C04,contradiction_candidate,autonomous_driving,AD-014,NAVSIM reports challenging evaluation scenarios where the constant-velocity agen,"The resulting scenarios are challenging, which is underlined by the score of the",runtime_check_needed,none,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 95% and the human expert scores 22% in testing.,"The resulting scenarios are challenging, which is underlined by the score of the constant velocity agent dropping to 22%, whereas the human expert achieves a score of 95%."
LLM_154,SBV2-ALL92-G013-C04,contradiction_candidate,autonomous_driving,AD-005,The Bench2Drive-R study implements an open-loop noninteractive simulation platfo,"Further, we implement a closed-loop interactive end-to- end simulation platform ",runtime_check_needed,none,The Bench2Drive-R study implements an open-loop noninteractive simulation platform unrelated to nuPlan for its evaluation pipeline and renderer tests.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan."
LLM_155,SBV2-ALL92-G019-C04,contradiction_candidate,autonomous_driving,AD-007,The study employs GPT-4o as the base VLM and fine-tunes it for two epochs on KIT,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none,The study employs GPT-4o as the base VLM and fine-tunes it for two epochs on KITTI with a learning rate of 1e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4."
LLM_156,SBV2-ALL92-G020-C04,contradiction_candidate,autonomous_driving,AD-007,RoboDriveVLM-TTA records weaker AvgL2-Prompt and AvgCol-Prompt results while mai,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-P",runtime_check_needed,none,RoboDriveVLM-TTA records weaker AvgL2-Prompt and AvgCol-Prompt results while maintaining higher MCL2 and MCC values under prompt corruption in benchmark evaluation.,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption."
LLM_157,SBV2-ALL92-G057-C04,contradiction_candidate,autonomous_driving,AD-020,"The regulation example treats [70, 60, 50] mph as exceeding the maximum speed di","For example, pointing at the downstream of traffic, a sequence of speed limits s",runtime_check_needed,none,"The regulation example treats [70, 60, 50] mph as exceeding the maximum speed differential and [70, 50, 30] mph as compliant.","For example, pointing at the downstream of traffic, a sequence of speed limits set at [70, 60, 50] mph complies with this regulation, whereas [70, 50, 30] mph does not, as it features a differential of 20 mph, exceeding the permissible maximum."
LLM_158,SBV2-ALL92-G031-C04,contradiction_candidate,autonomous_driving,AD-011,The DriveVLM experiments train models on the test split and evaluate training pe,We train models on the training split and use our proposed scene description and,runtime_check_needed,none,The DriveVLM experiments train models on the test split and evaluate training performance with scene-description and meta-action metrics.,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.
LLM_159,SBV2-ALL92-G032-C04,contradiction_candidate,autonomous_driving,AD-011,DriveVLM-Dual separates DriveVLM from the traditional autonomous pipeline and re,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,DriveVLM-Dual separates DriveVLM from the traditional autonomous pipeline and reports weaker spatial reasoning and real-time planning capabilities in experiments.,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_160,SBV2-ALL92-G051-C04,contradiction_candidate,autonomous_driving,AD-018,The URB paper introduced a framework for testing supervised lane detection algor,"5 Conclusions, limitations, broader impact and future work In this paper, we int",runtime_check_needed,none,The URB paper introduced a framework for testing supervised lane detection algorithms in city-scale networks with community implementations of standard MARL algorithms.,"5 Conclusions, limitations, broader impact and future work In this paper, we introduced a framework for testing RL routing algorithms in city-scale networks and reported a comprehensive benchmarking study using community implementations of a selection of standard MARL algorithms."
LLM_161,SBV2-ALL92-G043-C04,contradiction_candidate,autonomous_driving,AD-016,HABIT evaluates no recent end-to-end autonomy agents on semantically grounded pe,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none,HABIT evaluates no recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.
LLM_162,SBV2-ALL92-G047-C04,contradiction_candidate,autonomous_driving,AD-017,GPUDrive lacks GPU acceleration through the Madrona game engine in the V-Max fra,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none,GPUDrive lacks GPU acceleration through the Madrona game engine in the V-Max framework comparison section discussed by the authors.,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023)."
LLM_163,SBV2-ALL92-G065-C04,contradiction_candidate,autonomous_driving,AD-024,"The field studies highlight design tradeoffs involving compute benchmarks, camer","These deployments highlight practical limitations and design tradeoffs, such as ",runtime_check_needed,none,"The field studies highlight design tradeoffs involving compute benchmarks, camera styling, annotation speed, map formatting, and dashboard layout for validation.","These deployments highlight practical limitations and design tradeoffs, such as the importance of power and network infrastructure, local storage capacity, sensor visibility constraints, and the need for accurate ground truth sources for validation."
LLM_164,SBV2-ALL92-G037-C04,contradiction_candidate,autonomous_driving,AD-014,The NAVSIM experiments evaluate on the navtest split because closed-loop simulat,"Due to the heavy computational requirements of closed-loop simulation, we evalua",runtime_check_needed,none,The NAVSIM experiments evaluate on the navtest split because closed-loop simulation has light computational requirements for repeated evaluation in this study.,"Due to the heavy computational requirements of closed-loop simulation, we evaluate on the navmini split."
LLM_165,SBV2-ALL92-G034-C04,contradiction_candidate,autonomous_driving,AD-012,Bench2Drive implements rule-based baselines and avoids evaluating state-of-the-a,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none,Bench2Drive implements rule-based baselines and avoids evaluating state-of-the-art E2E-AD models for current status and future research directions analysis.,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, providing insights regarding current status and future directions."
LLM_166,SBV2-ALL92-G004-CONTRA,contradiction_candidate,autonomous_driving,AD-002,"The benchmark experiments run on an AMD Ryzen workstation, 16 GB RAM, an NVIDIA ",Experimental Setup All experiments are conducted on a desktop PC with an Intel C,runtime_check_needed,none,"The benchmark experiments run on an AMD Ryzen workstation, 16 GB RAM, an NVIDIA RTX 2080 GPU, and Windows-based simulation software.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware."
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,cyber_defense,CYB-009,The study evaluates its methods against no baselines at different design stages ,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense,The study evaluates its methods against no baselines at different design stages while motivating the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.
LLM_168,SBV2-ALL92-G094-C04,contradiction_candidate,cyber_defense,CYB-010,"The study evaluates the approach in CybORG, analyzing tradeoffs among interface ","We evaluate our approach within the CybORG environment, a reinforcement learning",runtime_check_needed,cyber_defense,"The study evaluates the approach in CybORG, analyzing tradeoffs among interface design, report formatting, and analyst preferences for cyber defense.","We evaluate our approach within the CybORG environment, a reinforcement learning (RL) framework for autonomous cyber defense, analyzing trade-offs between resilience, costs, and prioritization of operational goals."
LLM_169,SBV2-ALL92-G089-C04,contradiction_candidate,cyber_defense,CYB-008,A strong expert hierarchical decision rule trails the joint PPO baseline in the ,Their results show that a strong expert meta-policy can out- perform a joint Pro,runtime_check_needed,cyber_defense,A strong expert hierarchical decision rule trails the joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].
LLM_170,SBV2-ALL92-G083-C04,contradiction_candidate,cyber_defense,CYB-006,DeepXplain lowers average stage-weighted F1-score from 0.887 to 0.850 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain lowers average stage-weighted F1-score from 0.887 to 0.850 and mitigation success from 84.7% to 80.0% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_171,SBV2-ALL92-G087-C04,contradiction_candidate,cyber_defense,CYB-007,Human designers face minimal cognitive limitations when developing reward models,"As cyber environments evolve with increasingly sophisticated attack vectors, adv",runtime_check_needed,cyber_defense,Human designers face minimal cognitive limitations when developing reward models for nuanced cyber operation dynamics for the autonomous cyber-defense reward design problem.,"As cyber environments evolve with increasingly sophisticated attack vectors, advanced detection methodologies, and expansive network architectures, human designers face substantial cognitive limitations in developing comprehensive reward models that accurately capture the nuanced dynamics of cy- ber operations."
LLM_172,SBV2-ALL92-G069-C04,contradiction_candidate,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities benefits from broad access to op,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities benefits from broad access to open, reproducible, multi-host cyber-range infrastructure for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
LLM_173,SBV2-ALL92-G099-C04,contradiction_candidate,cyber_defense,CYB-011,The paper reframes autonomous network defence with entity-based reinforcement le,"To overcome this limitation, we reframe the problem of autonomous network defenc",runtime_check_needed,cyber_defense,"The paper reframes autonomous network defence with entity-based reinforcement learning, decomposing observation and action spaces into continuous global vectors.","To overcome this limitation, we reframe the problem of autonomous network defence using entity-based re- inforcement learning, where the observation and action space of an agent are decomposed into a collection of discrete entities."
LLM_174,SBV2-ALL92-G111-C04,contradiction_candidate,digital_twin,DT-003,The paper notes that robotic reinforcement learning faces no hardware limitation,"However, there are many challenges to implementing RL in the robotic domain due ",runtime_check_needed,none,"The paper notes that robotic reinforcement learning faces no hardware limitations or software restrictions involving system design, computing capability, and algorithm efficiency.","However, there are many challenges to implementing RL in the robotic domain due to hardware limitations (such as mechanical system design and computer capabilities) and software restrictions (like algorithm efficiency)."
LLM_175,SBV2-ALL92-G110-C04,contradiction_candidate,digital_twin,DT-003,The results show slow learning convergence and fragile task execution in simulat,The results show rapid policy convergence and robust task execution in both simu,runtime_check_needed,none,The results show slow learning convergence and fragile task execution in simulated and physical environments for the proposed robot control tasks.,The results show rapid policy convergence and robust task execution in both simulated and physical environments demonstrating the effectiveness of our approach.
